interaction_name,pathway_name,uniprot_ligand,uniprot_receptor,agonist,antagonist,co_A_receptor,co_I_receptor,annotation,interaction_name_2,evidence,is_neurotransmitter,ligand.symbol,ligand.family,ligand.location,ligand.keyword,ligand.secreted_type,ligand.transmembrane,receptor.symbol,receptor.family,receptor.location,receptor.keyword,receptor.surfaceome_main,receptor.surfaceome_sub,receptor.adhesome,receptor.secreted_type,receptor.transmembrane,version,unique_int
NODAL_ACVR1B_ACVR2B,NODAL,Q96S42,P0CG37_P36896_Q13705,NODAL agonist,NODAL antagonist,,,Secreted Signaling,NODAL - (ACVR1B+ACVR2B),KEGG: hsa04350; PMID: 17287255,FALSE,NODAL,TGF-beta,Secreted,"Disease variant, Signal, Developmental protein, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, 3D-structure, Heterotaxy, Cytokine, Glycoprotein",cytokine;growth factor,FALSE,"ACVR1B, ACVR2B, CFC1","Protein kinase superfamily, TKL Ser/Thr protein kinase, EGF-CFC (Cripto-1/FRL1/Cryptic)","Cell membrane, Secreted, GPI-anchor","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond, Heterotaxy, Disease variant, Developmental protein, Lipoprotein, GPI-anchor, Secreted, EGF-like domain, Gastrulation","Unclassified, Receptors","Unclassified, Act.TGFB;Kinase",,secreted,TRUE,CellChatDB v1,Q96S42_P0CG37_P36896_Q13705
NODAL_ACVR1C_ACVR2B,NODAL,Q96S42,P0CG37_Q13705_Q8NER5,NODAL agonist,NODAL antagonist,,,Secreted Signaling,NODAL - (ACVR1C+ACVR2B),KEGG: hsa04350; PMID: 17287255,FALSE,NODAL,TGF-beta,Secreted,"Disease variant, Signal, Developmental protein, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, 3D-structure, Heterotaxy, Cytokine, Glycoprotein",cytokine;growth factor,FALSE,"ACVR1C, ACVR2B, CFC1","Protein kinase superfamily, TKL Ser/Thr protein kinase, EGF-CFC (Cripto-1/FRL1/Cryptic)","Membrane, Cell membrane, Secreted, GPI-anchor","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Apoptosis, Serine/threonine-protein kinase, Nucleotide-binding, Magnesium, Disulfide bond, Heterotaxy, Glycoprotein, Disease variant, Cell membrane, Phosphoprotein, 3D-structure, Developmental protein, Lipoprotein, GPI-anchor, Secreted, EGF-like domain, Gastrulation","Unclassified, Receptors","Unclassified, Act.TGFB;Kinase",,secreted,TRUE,CellChatDB v1,Q96S42_P0CG37_Q13705_Q8NER5
GDF1_ACVR1B_ACVR2A,NODAL,P27539,P0CG37_P27037_P36896,NODAL agonist,NODAL antagonist,,,Secreted Signaling,GDF1 - (ACVR1B+ACVR2A),KEGG: hsa04350; PMID: 17287255,FALSE,GDF1,TGF-beta,Secreted,"Disease variant, Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Cytokine, Glycoprotein",cytokine;growth factor,FALSE,"ACVR1B, ACVR2A, CFC1","Protein kinase superfamily, TKL Ser/Thr protein kinase, EGF-CFC (Cripto-1/FRL1/Cryptic)","Cell membrane, Membrane, Secreted, GPI-anchor","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond, Disease variant, Developmental protein, Lipoprotein, GPI-anchor, Secreted, EGF-like domain, Heterotaxy, Gastrulation","Unclassified, Receptors","Unclassified, Act.TGFB;Kinase",,secreted,TRUE,CellChatDB v1,P27539_P0CG37_P27037_P36896
GDF1_ACVR1B_ACVR2B,NODAL,P27539,P0CG37_P36896_Q13705,NODAL agonist,NODAL antagonist,,,Secreted Signaling,GDF1 - (ACVR1B+ACVR2B),KEGG: hsa04350; PMID: 17287255,FALSE,GDF1,TGF-beta,Secreted,"Disease variant, Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Cytokine, Glycoprotein",cytokine;growth factor,FALSE,"ACVR1B, ACVR2B, CFC1","Protein kinase superfamily, TKL Ser/Thr protein kinase, EGF-CFC (Cripto-1/FRL1/Cryptic)","Cell membrane, Secreted, GPI-anchor","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond, Heterotaxy, Disease variant, Developmental protein, Lipoprotein, GPI-anchor, Secreted, EGF-like domain, Gastrulation","Unclassified, Receptors","Unclassified, Act.TGFB;Kinase",,secreted,TRUE,CellChatDB v1,P27539_P0CG37_P36896_Q13705
GDF1_ACVR1C_ACVR2A,NODAL,P27539,P0CG37_P27037_Q8NER5,NODAL agonist,NODAL antagonist,,,Secreted Signaling,GDF1 - (ACVR1C+ACVR2A),KEGG: hsa04350; PMID: 17287255,FALSE,GDF1,TGF-beta,Secreted,"Disease variant, Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Cytokine, Glycoprotein",cytokine;growth factor,FALSE,"ACVR1C, ACVR2A, CFC1","Protein kinase superfamily, TKL Ser/Thr protein kinase, EGF-CFC (Cripto-1/FRL1/Cryptic)","Membrane, Secreted, Cell membrane, GPI-anchor","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Apoptosis, Serine/threonine-protein kinase, Nucleotide-binding, Magnesium, Disulfide bond, Glycoprotein, 3D-structure, Disease variant, Developmental protein, Lipoprotein, GPI-anchor, Cell membrane, Secreted, EGF-like domain, Heterotaxy, Gastrulation","Unclassified, Receptors","Unclassified, Act.TGFB;Kinase",,secreted,TRUE,CellChatDB v1,P27539_P0CG37_P27037_Q8NER5
GDF1_ACVR1C_ACVR2B,NODAL,P27539,P0CG37_Q13705_Q8NER5,NODAL agonist,NODAL antagonist,,,Secreted Signaling,GDF1 - (ACVR1C+ACVR2B),KEGG: hsa04350; PMID: 17287255,FALSE,GDF1,TGF-beta,Secreted,"Disease variant, Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Cytokine, Glycoprotein",cytokine;growth factor,FALSE,"ACVR1C, ACVR2B, CFC1","Protein kinase superfamily, TKL Ser/Thr protein kinase, EGF-CFC (Cripto-1/FRL1/Cryptic)","Membrane, Cell membrane, Secreted, GPI-anchor","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Apoptosis, Serine/threonine-protein kinase, Nucleotide-binding, Magnesium, Disulfide bond, Heterotaxy, Glycoprotein, Disease variant, Cell membrane, Phosphoprotein, 3D-structure, Developmental protein, Lipoprotein, GPI-anchor, Secreted, EGF-like domain, Gastrulation","Unclassified, Receptors","Unclassified, Act.TGFB;Kinase",,secreted,TRUE,CellChatDB v1,P27539_P0CG37_Q13705_Q8NER5
GDF3_ACVR1B_ACVR2A,NODAL,Q9NR23,P0CG37_P27037_P36896,NODAL agonist,NODAL antagonist,,,Secreted Signaling,GDF3 - (ACVR1B+ACVR2A),KEGG: hsa04350; PMID: 17287255,FALSE,GDF3,TGF-beta,"Cytoplasm, Secreted","Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Cytoplasm, Cytokine, Glycoprotein",cytokine;growth factor,FALSE,"ACVR1B, ACVR2A, CFC1","Protein kinase superfamily, TKL Ser/Thr protein kinase, EGF-CFC (Cripto-1/FRL1/Cryptic)","Cell membrane, Membrane, Secreted, GPI-anchor","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond, Disease variant, Developmental protein, Lipoprotein, GPI-anchor, Secreted, EGF-like domain, Heterotaxy, Gastrulation","Unclassified, Receptors","Unclassified, Act.TGFB;Kinase",,secreted,TRUE,CellChatDB v1,Q9NR23_P0CG37_P27037_P36896
GDF3_ACVR1B_ACVR2B,NODAL,Q9NR23,P0CG37_P36896_Q13705,NODAL agonist,NODAL antagonist,,,Secreted Signaling,GDF3 - (ACVR1B+ACVR2B),KEGG: hsa04350; PMID: 17287255,FALSE,GDF3,TGF-beta,"Cytoplasm, Secreted","Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Cytoplasm, Cytokine, Glycoprotein",cytokine;growth factor,FALSE,"ACVR1B, ACVR2B, CFC1","Protein kinase superfamily, TKL Ser/Thr protein kinase, EGF-CFC (Cripto-1/FRL1/Cryptic)","Cell membrane, Secreted, GPI-anchor","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond, Heterotaxy, Disease variant, Developmental protein, Lipoprotein, GPI-anchor, Secreted, EGF-like domain, Gastrulation","Unclassified, Receptors","Unclassified, Act.TGFB;Kinase",,secreted,TRUE,CellChatDB v1,Q9NR23_P0CG37_P36896_Q13705
GDF3_ACVR1C_ACVR2A,NODAL,Q9NR23,P0CG37_P27037_Q8NER5,NODAL agonist,NODAL antagonist,,,Secreted Signaling,GDF3 - (ACVR1C+ACVR2A),KEGG: hsa04350; PMID: 17287255,FALSE,GDF3,TGF-beta,"Cytoplasm, Secreted","Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Cytoplasm, Cytokine, Glycoprotein",cytokine;growth factor,FALSE,"ACVR1C, ACVR2A, CFC1","Protein kinase superfamily, TKL Ser/Thr protein kinase, EGF-CFC (Cripto-1/FRL1/Cryptic)","Membrane, Secreted, Cell membrane, GPI-anchor","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Apoptosis, Serine/threonine-protein kinase, Nucleotide-binding, Magnesium, Disulfide bond, Glycoprotein, 3D-structure, Disease variant, Developmental protein, Lipoprotein, GPI-anchor, Cell membrane, Secreted, EGF-like domain, Heterotaxy, Gastrulation","Unclassified, Receptors","Unclassified, Act.TGFB;Kinase",,secreted,TRUE,CellChatDB v1,Q9NR23_P0CG37_P27037_Q8NER5
GDF3_ACVR1C_ACVR2B,NODAL,Q9NR23,P0CG37_Q13705_Q8NER5,NODAL agonist,NODAL antagonist,,,Secreted Signaling,GDF3 - (ACVR1C+ACVR2B),KEGG: hsa04350; PMID: 17287255,FALSE,GDF3,TGF-beta,"Cytoplasm, Secreted","Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Cytoplasm, Cytokine, Glycoprotein",cytokine;growth factor,FALSE,"ACVR1C, ACVR2B, CFC1","Protein kinase superfamily, TKL Ser/Thr protein kinase, EGF-CFC (Cripto-1/FRL1/Cryptic)","Membrane, Cell membrane, Secreted, GPI-anchor","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Apoptosis, Serine/threonine-protein kinase, Nucleotide-binding, Magnesium, Disulfide bond, Heterotaxy, Glycoprotein, Disease variant, Cell membrane, Phosphoprotein, 3D-structure, Developmental protein, Lipoprotein, GPI-anchor, Secreted, EGF-like domain, Gastrulation","Unclassified, Receptors","Unclassified, Act.TGFB;Kinase",,secreted,TRUE,CellChatDB v1,Q9NR23_P0CG37_Q13705_Q8NER5
INHBA_ACVR1B_ACVR2A,ACTIVIN,P08476,P27037_P36896,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBA - (ACVR1B+ACVR2A),KEGG: hsa04350,FALSE,INHBA,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, 3D-structure, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1B, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P08476_P27037_P36896
INHBA_ACVR1B_ACVR2B,ACTIVIN,P08476,P36896_Q13705,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBA - (ACVR1B+ACVR2B),KEGG: hsa04351,FALSE,INHBA,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, 3D-structure, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1B, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase",Cell membrane,"Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond, Heterotaxy, Disease variant",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P08476_P36896_Q13705
INHBB_ACVR1B_ACVR2A,ACTIVIN,P09529,P27037_P36896,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBB - (ACVR1B+ACVR2A),KEGG: hsa04352,FALSE,INHBB,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1B, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P09529_P27037_P36896
INHBB_ACVR1B_ACVR2B,ACTIVIN,P09529,P36896_Q13705,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBB - (ACVR1B+ACVR2B),KEGG: hsa04353,FALSE,INHBB,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1B, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase",Cell membrane,"Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond, Heterotaxy, Disease variant",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P09529_P36896_Q13705
INHBB_ACVR1C_ACVR2A,ACTIVIN,P09529,P27037_Q8NER5,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBB - (ACVR1C+ACVR2A),KEGG: hsa04354,FALSE,INHBB,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1C, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase",Membrane,"Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Apoptosis, Serine/threonine-protein kinase, Nucleotide-binding, Magnesium, Disulfide bond, Glycoprotein, 3D-structure",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P09529_P27037_Q8NER5
INHBB_ACVR1C_ACVR2B,ACTIVIN,P09529,Q13705_Q8NER5,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBB - (ACVR1C+ACVR2B),KEGG: hsa04355,FALSE,INHBB,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1C, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Apoptosis, Serine/threonine-protein kinase, Nucleotide-binding, Magnesium, Disulfide bond, Heterotaxy, Glycoprotein, Disease variant, Cell membrane, Phosphoprotein, 3D-structure",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P09529_Q13705_Q8NER5
INHBC_ACVR1B_ACVR2A,ACTIVIN,P55103,P27037_P36896,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBC - (ACVR1B+ACVR2A),KEGG: hsa04356,FALSE,INHBC,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1B, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P55103_P27037_P36896
INHBC_ACVR1B_ACVR2B,ACTIVIN,P55103,P36896_Q13705,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBC - (ACVR1B+ACVR2B),KEGG: hsa04357,FALSE,INHBC,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1B, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase",Cell membrane,"Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond, Heterotaxy, Disease variant",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P55103_P36896_Q13705
INHBC_ACVR1C_ACVR2A,ACTIVIN,P55103,P27037_Q8NER5,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBC - (ACVR1C+ACVR2A),KEGG: hsa04358,FALSE,INHBC,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1C, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase",Membrane,"Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Apoptosis, Serine/threonine-protein kinase, Nucleotide-binding, Magnesium, Disulfide bond, Glycoprotein, 3D-structure",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P55103_P27037_Q8NER5
INHBC_ACVR1C_ACVR2B,ACTIVIN,P55103,Q13705_Q8NER5,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBC - (ACVR1C+ACVR2B),KEGG: hsa04359,FALSE,INHBC,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1C, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Apoptosis, Serine/threonine-protein kinase, Nucleotide-binding, Magnesium, Disulfide bond, Heterotaxy, Glycoprotein, Disease variant, Cell membrane, Phosphoprotein, 3D-structure",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P55103_Q13705_Q8NER5
INHBE_ACVR1B_ACVR2A,ACTIVIN,P58166,P27037_P36896,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBE - (ACVR1B+ACVR2A),KEGG: hsa04360,FALSE,INHBE,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1B, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P58166_P27037_P36896
INHBE_ACVR1B_ACVR2B,ACTIVIN,P58166,P36896_Q13705,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBE - (ACVR1B+ACVR2B),KEGG: hsa04361,FALSE,INHBE,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1B, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase",Cell membrane,"Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond, Heterotaxy, Disease variant",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P58166_P36896_Q13705
INHBE_ACVR1C_ACVR2A,ACTIVIN,P58166,P27037_Q8NER5,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBE - (ACVR1C+ACVR2A),KEGG: hsa04362,FALSE,INHBE,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1C, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase",Membrane,"Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Apoptosis, Serine/threonine-protein kinase, Nucleotide-binding, Magnesium, Disulfide bond, Glycoprotein, 3D-structure",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P58166_P27037_Q8NER5
INHBE_ACVR1C_ACVR2B,ACTIVIN,P58166,Q13705_Q8NER5,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBE - (ACVR1C+ACVR2B),KEGG: hsa04363,FALSE,INHBE,TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Hormone, Glycoprotein",growth factor;hormone,FALSE,"ACVR1C, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Apoptosis, Serine/threonine-protein kinase, Nucleotide-binding, Magnesium, Disulfide bond, Heterotaxy, Glycoprotein, Disease variant, Cell membrane, Phosphoprotein, 3D-structure",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P58166_Q13705_Q8NER5
INHBABB_ACVR1B_ACVR2A,ACTIVIN,P08476_P09529,P27037_P36896,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBABB - (ACVR1B+ACVR2A),PMID: 2457849; PMID: 22991378,FALSE,"INHBA, INHBB",TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, 3D-structure, Hormone, Glycoprotein, Direct protein sequencing",growth factor;hormone,FALSE,"ACVR1B, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P08476_P09529_P27037_P36896
INHBABB_ACVR1B_ACVR2B,ACTIVIN,P08476_P09529,P36896_Q13705,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,Secreted Signaling,INHBABB - (ACVR1B+ACVR2B),PMID: 2457849; PMID: 22991378,FALSE,"INHBA, INHBB",TGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, 3D-structure, Hormone, Glycoprotein, Direct protein sequencing",growth factor;hormone,FALSE,"ACVR1B, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase",Cell membrane,"Membrane, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation, Disulfide bond, Heterotaxy, Disease variant",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P08476_P09529_P36896_Q13705
